filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time,file,decay time (s),half-life (s),activity,detector efficiency,uncertainty detector efficiency
/content/example_data/cal-to-ser/Calibration-Data/20250407_AmBaCoCsEuCalibLong_d1s200.Spe,214AM,59.5412,419694.717396083,12363.184827126734,0.359,0.004,225860372.27784687,7163268.433598051,1009.4047635721361,32.01374905521215,320.84199242806494,04/04/2025 18:00:27,223542.0,223756.0,20250407_AmBaCoCsEuCalibLong_d1s200.Spe,1283608827.0,13642473600.0,395862.3238101089,1.3211076842739523e-05,4.160742026363024e-07
/content/example_data/cal-to-ser/Calibration-Data/20250407_AmBaCoCsEuCalibLong_d1s200.Spe,133BA,80.9971,75810.9603175953,21323.7088605366,0.329,0.003,41472495.15127924,11673162.590844218,185.3469634390999,52.169160115680555,1324.296948260372,04/04/2025 18:00:27,223542.0,223756.0,20250407_AmBaCoCsEuCalibLong_d1s200.Spe,1283608827.0,332263296.0,28195.889487871922,3.6567260746727016e-05,1.029085051574647e-05
/content/example_data/cal-to-ser/Calibration-Data/20250407_AmBaCoCsEuCalibLong_d1s200.Spe,152EU,121.7817,89218.69292352279,1186.899846159487,0.2853,0.0016,58634181.017809846,893395.4448951372,262.0451787563679,3.99272173660209,6.617277770136002,04/04/2025 18:00:27,223542.0,223756.0,20250407_AmBaCoCsEuCalibLong_d1s200.Spe,1283608827.0,426272112.0,45890.978487110144,3.048923756081447e-05,4.401741916379295e-07
/content/example_data/cal-to-ser/Calibration-Data/20250407_AmBaCoCsEuCalibLong_d1s200.Spe,152EU,244.6975,13866.638055786056,3076.9302248588774,0.0755,0.0004,48926875.09033724,10869657.259702941,218.6617346142103,48.57817113151353,161.9696135975172,04/04/2025 18:00:27,223542.0,223756.0,20250407_AmBaCoCsEuCalibLong_d1s200.Spe,1283608827.0,426272112.0,45890.978487110144,1.7906747411924907e-05,3.974540538628909e-06
/content/example_data/cal-to-ser/Calibration-Data/20250407_AmBaCoCsEuCalibLong_d1s200.Spe,133BA,276.7364,8015.851372587758,393.31429237427017,0.0716,0.0005,33130637.386602845,1687058.2494383364,148.06591727865552,7.539722954639591,3.379479452146856,04/04/2025 18:00:27,223542.0,223756.0,20250407_AmBaCoCsEuCalibLong_d1s200.Spe,1283608827.0,332263296.0,28195.889487871922,1.7766135179109523e-05,8.805163323553787e-07
/content/example_data/cal-to-ser/Calibration-Data/20250407_AmBaCoCsEuCalibLong_d1s200.Spe,133BA,302.853,15952.22394285024,1671.8957516858052,0.1834,0.0013000000000000002,27848299.616680037,2935138.620095147,124.45833683423031,13.117586210403953,63.242473383720714,04/04/2025 18:00:27,223542.0,223756.0,20250407_AmBaCoCsEuCalibLong_d1s200.Spe,1283608827.0,332263296.0,28195.889487871922,1.3803150872101636e-05,1.4499639165521933e-06
/content/example_data/cal-to-ser/Calibration-Data/20250407_AmBaCoCsEuCalibLong_d1s200.Spe,152EU,344.2785,33276.427164624445,2634.1867126725083,0.2659,0.002,44835779.65013393,3577148.048711752,200.3779994732384,15.986825152003755,126.75908473554883,04/04/2025 18:00:27,223542.0,223756.0,20250407_AmBaCoCsEuCalibLong_d1s200.Spe,1283608827.0,426272112.0,45890.978487110144,1.220143280964704e-05,9.70224773500867e-07
/content/example_data/cal-to-ser/Calibration-Data/20250407_AmBaCoCsEuCalibLong_d1s200.Spe,133BA,356.017,45039.515502709284,2837.1828426511092,0.6204999999999999,0.0,26775690.993128985,1694071.5403156953,119.6646838213455,7.571066430914457,126.75908473554883,04/04/2025 18:00:27,223542.0,223756.0,20250407_AmBaCoCsEuCalibLong_d1s200.Spe,1283608827.0,332263296.0,28195.889487871922,1.151882692215199e-05,7.256076746436456e-07
/content/example_data/cal-to-ser/Calibration-Data/20250407_AmBaCoCsEuCalibLong_d1s200.Spe,133BA,383.851,5823.533826591089,151.90216384595357,0.0894,0.0006,25638797.47917633,773542.9427382501,114.58373173982521,3.4570824591888045,0.9686238278594983,04/04/2025 18:00:27,223542.0,223756.0,20250407_AmBaCoCsEuCalibLong_d1s200.Spe,1283608827.0,332263296.0,28195.889487871922,1.0337259345537431e-05,2.784213708158618e-07
/content/example_data/cal-to-ser/Calibration-Data/20250407_AmBaCoCsEuCalibLong_d1s200.Spe,137CS,661.657,185242.9445555138,795.5200172303729,0.851,0.002,133098471.75601275,851516.0922621506,594.8375541036341,3.805556464461961,3.6380386089210988,04/04/2025 18:00:27,223542.0,223756.0,20250407_AmBaCoCsEuCalibLong_d1s200.Spe,1283608827.0,946300752.0000001,172389.2949793837,5.6490867656480115e-06,2.7655028774812408e-08
